source_name,author,title,description,url,url_to_image,published_at,content
The Times of India,Reuters,The unconventional logic behind SpaceX's $1.75 trillion price tag,"Wall Street is employing unconventional benchmarks, comparing SpaceX to tech firms like Palantir and AI infrastructure players, to justify a potential $1.75 trillion IPO valuation. This approach aims to capture the company's unique secular growth potential, m…",https://economictimes.indiatimes.com/tech/startups/the-unconventional-logic-behind-spacexs-1-75-trillion-price-tag/articleshow/130167806.cms,"https://img.etimg.com/thumb/width-1200,height-900,imgsize-69702,resizemode-75,msid-130167806/tech/startups/the-unconventional-logic-behind-spacexs-1-75-trillion-price-tag.jpg",2026-04-10T11:07:57Z,Wall Street is reaching for some unusual yardsticks to price Elon Musk's SpaceX. At least one of SpaceX's large institutional investors is privately benchmarking the rocket and satellite company not … [+7232 chars]
Yahoo Entertainment,Hamza Shaban,Morning Brief: A big day for inflation,"The Fed's preferred inflation gauge showed pricing pressures remained elevated for the month of February, even before the US and Israel began their military ...",https://finance.yahoo.com/news/morning-brief-a-big-day-for-inflation-100052155.html,https://s.yimg.com/ny/api/res/1.2/1zwMhDOoAPUaU2PPk1g6Wg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03MjM7Y2Y9d2VicA--/https://s.yimg.com/os/creatr-uploaded-images/2026-04/4442d6f0-345d-11f1-b367-42741f02b771,2026-04-10T10:00:52Z,"Good morning! Oil prices surged on Thursday as the ceasefire's precariousness became clearer, but markets reversed losses after Israel agreed to negotiations with Lebanon.
But the stock market didn'… [+9607 chars]"
Business Insider,jciolli@businessinsider.com (Joe Ciolli),Alphabet steamrolled BI's stock bracket. Here are 4 things your picks revealed.,Bracket voters largely opted for more proven companies that they interact with on a daily basis.,https://www.businessinsider.com/march-madness-style-bracket-crowned-alphabet-as-top-stock-pick-2026-4,https://i.insider.com/69d812f6f976785dcb190072?width=1200&format=jpeg,2026-04-10T09:50:01Z,"After three weeks of voting and general bracket madness, First Trade readership has selected ALPHABETas the Magnificent 7 (plus Palantir) stock they'd most like to own for the next 10 years.
The Goo… [+2772 chars]"
TheStreet,Tyler Bundy,Palantir shares sink as Michael Burry revives AI competition fears,Palantir (PLTR) fell sharply after Michael Burry put a familiar pressure point back in front of investors: competition in enterprise AI. Business Insider...,https://www.thestreet.com/investing/stocks/palantir-shares-sink-as-michael-burry-revives-ai-competition-fears,https://s.yimg.com/os/en/thestreet_881/1cd9f8f2b0e00c991e141c862a8a5a66,2026-04-10T09:03:00Z,"Palantir (PLTR) fell sharply after Michael Burry put a familiar pressure point back in front of investors: competition in enterprise AI. Business Insider,quotingBurrys now-deleted X post, said he arg… [+3859 chars]"
Slashdot.org,feedfeeder,Michael Burry says Anthropic is 'eating Palantir's lunch' as enterprise AI spending shifts - Business Insider,"Michael Burry says Anthropic is 'eating Palantir's lunch' as enterprise AI spending shiftsBusiness Insider Palantir stock plunges after 'Big Short' investor Michael Burry says Anthropic is eating its lunchYahoo Finance Software stocks selloff: PLTR, MSFT drop…",https://slashdot.org/firehose.pl?op=view&amp;id=181507092,,2026-04-09T22:52:40Z,The Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.
New York Post,Ross O'Keefe,Here are the companies that have fled California — including the company that’s tracking the exodus,"Numerous companies have left California in recent years to escape rising costs, extensive regulations, and high taxes.",https://nypost.com/2026/04/09/us-news/these-companies-have-shifted-their-headquarters-out-of-california/,https://nypost.com/wp-content/uploads/sites/2/2026/04/125321858.jpg?quality=75&strip=all&w=1200,2026-04-09T22:19:17Z,"Numerous companies have left California in recent years to escape rising costs, extensive regulations and high taxes.
Even the company that tracks companies leaving California, CBRE, has left Califo… [+5177 chars]"
Yahoo Entertainment,,"Stock Market Today, April 9: Palantir Drops After Michael Burry Warns of Rising Competition From Anthropic",,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_f0b52b59-2b44-43c9-9019-26db762e854c,,2026-04-09T21:31:50Z,"If you click 'Accept all', we and our partners, including 251 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]"
Yahoo Entertainment,,Palantir Stock Slumps on Michael Burry Comments. Should You Buy the Dip or Stay Away?,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_3799454d-4d0a-4cd0-beca-a3b3bc874fc2,,2026-04-09T18:47:29Z,"If you click 'Accept all', we and our partners, including 251 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]"
Financial Post,Bloomberg News,Software slumps again with growth hopes ‘dashed on the rocks’,"Shares of software companies fell on Thursday, in the latest example of the group slumping amid concerns about disruption from AI. Read here",https://financialpost.com/investing/software-slumps-growth-hopes-dashed,https://smartcdn.gprod.postmedia.digital/financialpost/wp-content/uploads/2026/04/0410-mg-tech-shares.jpg,2026-04-09T18:31:59Z,"Shares of software companies fell on Thursday, in the latest example of the group slumping amid concerns about disruption from artificial intelligence services.
THIS CONTENT IS RESERVED FOR SUBSCRIB… [+4767 chars]"
Yahoo Entertainment,Francisco Velasquez,Palantir stock plunges after 'Big Short' investor Michael Burry says Anthropic is eating its lunch,"Burry cites Anthropic's meteoric $30 billion revenue climb as proof that ""brains"" will eat ""infrastructure"" in the AI arms race.",https://finance.yahoo.com/news/palantir-stock-plunges-after-big-short-investor-michael-burry-says-anthropic-is-eating-its-lunch-171120431.html,https://s.yimg.com/ny/api/res/1.2/JfifMCt8QpqdlkTYanBGDg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MTc-/https://s.yimg.com/os/creatr-uploaded-images/2021-02/ddc0fec0-6ae5-11eb-8fff-ee2032cdaf88,2026-04-09T17:11:20Z,"""Big Short"" investor Michael Burry has long been a contrarian and now he's picking bones with Palantir Technologies (PLTR).
In a characteristically blunt post on X this week, Burry claimed that AI s… [+4226 chars]"
Ibtimes.com.au,Mike Clair,Palantir Stock Plunges 7.5% as Michael Burry Claims Anthropic Is 'Eating Palantir's Lunch' in AI Race,"Palantir Technologies Inc. shares tumbled more than 7% midday Thursday, extending a volatile stretch for the once-high-flying artificial intelligence stock as prominent investor Michael Burry questioned the company's competitive position against rising rivals…",https://www.ibtimes.com.au/palantir-stock-plunges-75-michael-burry-claims-anthropic-eating-palantirs-lunch-ai-race-1865913,https://d.ibtimes.com.au/en/full/1893186/ftse-100-surges-08-today-oil-eases-markets.jpg,2026-04-09T16:57:22Z,"Palantir Technologies Inc. shares tumbled more than 7% midday Thursday, extending a volatile stretch for the once-high-flying artificial intelligence stock as prominent investor Michael Burry questio… [+6050 chars]"
Psychology Today,Anna Katharina Schaffner Ph.D.,Are We Programming Our Own Obsolescence?,Are we building a better future - or programming our own irrelevance? The stories we tell about progress may be shaping an anti-human world that no longer needs us.,https://www.psychologytoday.com/us/blog/the-art-of-self-improvement/202604/are-we-programming-our-own-obsolescence,https://cdn2.psychologytoday.com/assets/styles/manual_crop_1_91_1_1528x800/public/teaser_image/blog_entry/2026-04/shutterstock_2733405973.jpg?itok=XlQugEzw,2026-04-09T15:42:31Z,The stories we tell ourselves about ourselves do not develop in a vacuum. They are in constant dialogue with much bigger stories the shared narratives of our culture and our time. These stories shape… [+7775 chars]
Yahoo Entertainment,,Why Palantir Stock Is Plummeting Today,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_d02e27d2-cb58-4e5d-9f51-4e79fa2e1692,,2026-04-09T15:20:49Z,"If you click 'Accept all', we and our partners, including 251 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]"
The Times of India,Piyush Shukla,Michael Burry drops a bomb on Palantir: Why is Palantir stock dropping big today and is it losing the AI race to Anthropic? Here’s what ‘Big Short’ warned on PLTR,Why is Palantir stock dropping sharply today after Michael Burry’s warning? The Palantir stock drop is suddenly back in focus after Michael Burry issued a fresh warning. Shares of Palantir Technologies slipped nearly 6% in one session. That sharp fall has tri…,https://economictimes.indiatimes.com/news/international/us/michael-burry-drops-a-bomb-on-palantir-why-is-palantir-stock-dropping-big-today-and-is-it-losing-the-ai-race-to-anthropic-heres-what-big-short-warned-on-pltr/articleshow/130145796.cms,"https://img.etimg.com/thumb/msid-130146222,width-1200,height-630,imgsize-9686,overlay-economictimes/articleshow.jpg",2026-04-09T15:09:19Z,Palantir stock dropped nearly 6% in a single session after Michael Burry reignited concerns about valuation and rising competition from Anthropic. The sudden decline highlights growing investor anxie… [+7825 chars]
GlobeNewswire,Research and Markets,"UniCredit Digital Transformation Strategy Analysis Report 2025: Accelerators, Innovation Programs, Technology Initiatives, ICT, Partnerships, Investments & Acquisitions, Network Map","UniCredit's market opportunities lie in enhancing its tech-driven banking solutions through digital transformation and innovation. By focusing on partnerships, new product launches, and strategic tech initiatives, the company can better serve corporate, finan…",https://www.globenewswire.com/news-release/2026/04/09/3271172/28124/en/UniCredit-Digital-Transformation-Strategy-Analysis-Report-2025-Accelerators-Innovation-Programs-Technology-Initiatives-ICT-Partnerships-Investments-Acquisitions-Network-Map.html,https://ml.globenewswire.com/Resource/Download/908fb457-7f8e-4a08-9081-5565e3dfb3d7,2026-04-09T14:48:00Z,"Dublin, April 09, 2026 (GLOBE NEWSWIRE) -- The ""Enterprise Tech Ecosystem Series - UniCredit S.p.A. 2025"" company profile has been added to ResearchAndMarkets.com's offering.
The report provides ins… [+2563 chars]"
Barchart.com,Ebube Jones,Tech Stocks Are Experiencing Historic 50-Year Weakness. Should You Buy the Dip in This 1 ETF?,"A rare bout of 50‑year‑level weakness in big U.S. tech has pulled the XLK ETF into a short‑term slump, even as its top holdings like Nvidia, Apple, Microsoft...",https://www.barchart.com/story/news/1221208/tech-stocks-are-experiencing-historic-50-year-weakness-should-you-buy-the-dip-in-this-1-etf,https://s.yimg.com/ny/api/res/1.2/_hDgEn_3ekEmpXdA0In_3g--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/barchart_com_477/ec6b9dda8dcda21b448ae8baa38caa8d,2026-04-09T13:15:01Z,"Chip makers just reminded the market how quickly sentiment in tech can turn. The latest compression method from Google researchers, which could sharply cut the memory needed for AI tasks, helped trig… [+4594 chars]"
Fox News,,CHAD WOLF: China's AI mockery shows the fight for the Americas is underway,China's use of AI propaganda against the U.S. signals a deeper geopolitical contest over technology dominance and influence across Latin America.,https://www.foxnews.com/opinion/chad-wolf-chinas-ai-mockery-shows-fight-americas-underway,https://static.foxnews.com/foxnews.com/content/uploads/2026/03/xi-jinping-ccp-1.jpg,2026-04-09T13:00:52Z,"Recently, Chinas embassy in Washington posted an AI-generated video mocking President Donald Trumps proposed Shield of the Americas summit. The point was to paint the United States as paranoid, overb… [+5368 chars]"
New York Magazine,Matt Stieb,A New Theory of Elon Musk,"As the South African billionaire eyes a $2 trillion IPO for SpaceX, it’s worth considering how to make sense of a world that rewards ‘Muskism.’",http://nymag.com/intelligencer/article/muskism-ben-tarnoff-quinn-slobodian-interview-elon-musk-spacex.html,https://pyxis.nymag.com/v1/imgs/b30/29e/c8dfaf010d1baa650b3edb79a2519aa294-elon-jaq.1x.rsocial.w1200.jpg,2026-04-09T12:00:08Z,Have you tuned out Elon Musk yet? The oligarch founder and richest man in the world currently wealthier than the next three guys combined has been on our screens daily for years. He is a rare kind of… [+14698 chars]
Activistpost.com,Editor,The System Being Built While the World Burns,"The System Being Built While the World Burns by Greg Reese Read on Substack According to the Brookings Institution’s analysis of carbon tax timing, high fossil fuel prices are the worst time to impose a carbon tax, but are the best time to build the underlyin…",https://www.activistpost.com/the-system-being-built-while-the-world-burns/,https://www.activistpost.com/wp-content/uploads/2026/04/000_32et2lx.jpg,2026-04-09T12:00:00Z,"According to the Brookings Institutions analysis of carbon tax timing, high fossil fuel prices are the worst time to impose a carbon tax, but are the best time to build the underlying market architec… [+3952 chars]"
